technology,category,premium_pct,se_pct,n_postings
Microsoft ASP.NET,Web platform development software,8.592093686813751,10.962173198901262,116
Apache Kafka,Development environment software,8.354150701362295,2.8680787721092047,79
Kubernetes,Application server software,8.158136012404228,1.7821473088172068,202
Microsoft .NET Framework,Development environment software,7.420911952215259,11.020187560287113,113
MongoDB,Data base management system software,6.9355746879554925,2.1047629236514944,77
C++,Object or component oriented development software,6.230651575240276,3.553765997127545,139
Python,Object or component oriented development software,5.821578010319328,2.11718447517515,634
IBM Terraform,Configuration management software,5.754063505168894,2.7544844685031333,92
Amazon Web Services AWS CloudFormation,Cloud-based management software,5.605922078415748,2.1498492249982255,423
Amazon Web Services AWS software,Data base user interface and query software,5.605922078415748,2.1498492249982255,423
Apache Spark,Business intelligence and data analysis software,4.8508801285548575,0.7828371209206311,330
React,Web platform development software,4.807834459688687,2.434168428185208,98
TypeScript,Object or component oriented development software,4.754664280389842,2.780887999874734,140
Oracle Java,Object or component oriented development software,4.556657030374089,2.9511369122633386,216
Jenkins CI,Enterprise application integration software,4.066863631557216,2.4353276136565385,210
Facebook,Web page creation and editing software,3.7344056008151716,0.525180897502477,328
Docker,Application server software,3.375906078368418,4.34059118901193,64
Go,Development environment software,2.75377133076975,1.2050418828312646,509
Microsoft Dynamics,Enterprise resource planning ERP software,2.4374157343051372,4.221365789100385,68
Microsoft Azure software,Development environment software,2.101496913370826,2.4821832238477377,259
Figma,Graphical user interface development software,0.8352561715549767,2.3829186531598117,96
Google Analytics,Data mining software,0.43149159472957166,1.3798559423251298,642
Bootstrap,Web platform development software,-0.46273044720840373,0.5308500612604089,60
JavaScript,Web platform development software,-1.072783045390302,1.7799092737432618,137
Scala,Object or component oriented development software,-1.568709371932775,1.6212891810569736,173
Microsoft SQL Server,Data base user interface and query software,-4.7379214443095785,1.5434078772266133,376
Microsoft SQL Server Integration Services SSIS,Enterprise application integration software,-4.7379214443095785,1.5434078772266133,376
Microsoft SQL Server Reporting Services SSRS,Data base reporting software,-4.7379214443095785,1.5434078772266133,376
Oracle PL/SQL,Data base management system software,-4.7379214443095785,1.5434078772266133,376
Oracle SQL Developer,Development environment software,-4.7379214443095785,1.5434078772266133,376
Structured query language SQL,Data base user interface and query software,-4.7379214443095785,1.5434078772266133,376
Transact-SQL,Data base user interface and query software,-4.7379214443095785,1.5434078772266133,376
Microsoft Project,Project management software,-6.761565987392915,1.9002499231175252,373
Microsoft Office software,Office suite software,-7.9780930298885,2.2230771011968273,328
Microsoft Power BI,Business intelligence and data analysis software,-9.296517489998868,4.815330355266117,64
Tableau,Business intelligence and data analysis software,-10.562840156377307,4.147072097693096,88
Salesforce software,Customer relationship management CRM software,-17.166924773726645,5.524330097902887,192
